# darshan log version: 3.10
# compression method: ZLIB
# exe: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/build/bin/warpx.3d.MPI.CUDA.DP.OPMD /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/Examples/Physics_applications/laser_acceleration/inputs_3d
# uid: 16326
# jobid: 446247
# start_time: 1603904022
# start_time_asci: Wed Oct 28 12:53:42 2020
# end_time: 1603904038
# end_time_asci: Wed Oct 28 12:53:58 2020
# nprocs: 12
# run time: 17
# metadata: lib_ver = 3.1.7
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 318 bytes (compressed)
# record table: 2260 bytes (compressed)
# POSIX module: 6261 bytes (compressed), ver=4
# STDIO module: 3607 bytes (compressed), ver=2
# DXT_POSIX module: 5105 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/proc/sys/fs/binfmt_misc	autofs
# mount entry:	/autofs/nccs-svm1_home1	nfs
# mount entry:	/autofs/nccs-svm1_home	nfs
# mount entry:	/autofs/nccs-svm1_sw	nfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/cache/fscache	xfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/gpfs/alpine	gpfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/autofs	autofs
# mount entry:	/dev	devtmpfs

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 2253587985157457972, file_name: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/submit_summit/diags/diag101000/WarpXHeader
# DXT, rank: 0, hostname: h35n04
# DXT, write_count: 1, read_count: 0
# DXT, mnt_pt: /gpfs/alpine, fs_type: gpfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0               0             833     15.6529     15.6530

# DXT, file_id: 2461956221758754487, file_name: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/submit_summit/diags/diag100000/Level_0/Cell_D_00001
# DXT, rank: 1, hostname: h35n04
# DXT, write_count: 5, read_count: 0
# DXT, mnt_pt: /gpfs/alpine, fs_type: gpfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       1  write        0               0              93      3.5193      3.5193
 X_POSIX       1  write        1              93        10485760      3.5194      3.5224
 X_POSIX       1  write        2        10485853              93      3.5224      3.5225
 X_POSIX       1  write        3        10485946        10485760      3.5225      3.5879
 X_POSIX       1  write        4        20971706        10485760     15.4655     15.4711

# DXT, file_id: 11455308502133443023, file_name: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/submit_summit/diags/diag101000/Level_0/Cell_D_00001
# DXT, rank: 1, hostname: h35n04
# DXT, write_count: 3, read_count: 0
# DXT, mnt_pt: /gpfs/alpine, fs_type: gpfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       1  write        0               0              93     15.4654     15.4655
 X_POSIX       1  write        1              93              93     15.4711     15.4711
 X_POSIX       1  write        2             186        10485760     15.4711     15.5400

# DXT, file_id: 943218629461810437, file_name: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/submit_summit/diags/diag101000/electrons/Level_0/DATA_00001
# DXT, rank: 1, hostname: h35n04
# DXT, write_count: 6, read_count: 0
# DXT, mnt_pt: /gpfs/alpine, fs_type: gpfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       1  write        0               0          445264     15.5713     15.5716
 X_POSIX       1  write        1          445264         2097152     15.5875     15.5888
 X_POSIX       1  write        2         2542416         1019696     15.5888     15.5890
 X_POSIX       1  write        3         3562112          447840     15.5944     15.5945
 X_POSIX       1  write        4         4009952         2097152     15.6094     15.6097
 X_POSIX       1  write        5         6107104         1037728     15.6098     15.6099

# DXT, file_id: 18100004091297394306, file_name: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/submit_summit/diags/diag100000/Level_0/Cell_D_00002
# DXT, rank: 2, hostname: h35n04
# DXT, write_count: 5, read_count: 0
# DXT, mnt_pt: /gpfs/alpine, fs_type: gpfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       2  write        0               0              93      3.5195      3.5196
 X_POSIX       2  write        1              93        10485760      3.5196      3.5221
 X_POSIX       2  write        2        10485853              93      3.5221      3.5221
 X_POSIX       2  write        3        10485946        10485760      3.5221      3.6109
 X_POSIX       2  write        4        20971706        10485760     15.4661     15.4692

# DXT, file_id: 15053147958161866479, file_name: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/submit_summit/diags/diag101000/Level_0/Cell_D_00002
# DXT, rank: 2, hostname: h35n04
# DXT, write_count: 3, read_count: 0
# DXT, mnt_pt: /gpfs/alpine, fs_type: gpfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       2  write        0               0              93     15.4660     15.4661
 X_POSIX       2  write        1              93              93     15.4692     15.4693
 X_POSIX       2  write        2             186        10485760     15.4693     15.5378

# DXT, file_id: 7432226657708203701, file_name: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/submit_summit/diags/diag101000/electrons/Level_0/DATA_00002
# DXT, rank: 2, hostname: h35n04
# DXT, write_count: 6, read_count: 0
# DXT, mnt_pt: /gpfs/alpine, fs_type: gpfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       2  write        0               0          454272     15.5714     15.5717
 X_POSIX       2  write        1          454272         2097152     15.5890     15.5905
 X_POSIX       2  write        2         2551424         1082752     15.5906     15.5907
 X_POSIX       2  write        3         3634176          454288     15.5963     15.5963
 X_POSIX       2  write        4         4088464         2097152     15.6115     15.6117
 X_POSIX       2  write        5         6185616         1082864     15.6117     15.6118

# DXT, file_id: 11880328452128249383, file_name: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/submit_summit/diags/diag100000/Level_0/Cell_D_00003
# DXT, rank: 3, hostname: h35n04
# DXT, write_count: 4, read_count: 0
# DXT, mnt_pt: /gpfs/alpine, fs_type: gpfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       3  write        0               0              93      3.5180      3.5181
 X_POSIX       3  write        1              93        10485760      3.5181      3.5203
 X_POSIX       3  write        2        10485853              93      3.5203      3.5203
 X_POSIX       3  write        3        10485946        10485760      3.5203      3.5736

# DXT, file_id: 7026580430994328996, file_name: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/submit_summit/diags/diag100000/electrons/Level_0/DATA_00003
# DXT, rank: 3, hostname: h35n04
# DXT, write_count: 2, read_count: 0
# DXT, mnt_pt: /gpfs/alpine, fs_type: gpfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       3  write        0               0          211680      3.6288      3.6290
 X_POSIX       3  write        1          211680         1481760      3.6363      3.6375

# DXT, file_id: 3227435284861077665, file_name: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/submit_summit/diags/diag101000/Level_0/Cell_D_00003
# DXT, rank: 3, hostname: h35n04
# DXT, write_count: 4, read_count: 0
# DXT, mnt_pt: /gpfs/alpine, fs_type: gpfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       3  write        0               0              93     15.4659     15.4660
 X_POSIX       3  write        1              93        10485760     15.4660     15.4682
 X_POSIX       3  write        2        10485853              93     15.4683     15.4683
 X_POSIX       3  write        3        10485946        10485760     15.4683     15.5273

# DXT, file_id: 4941897424393945717, file_name: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/submit_summit/diags/diag101000/electrons/Level_0/DATA_00003
# DXT, rank: 3, hostname: h35n04
# DXT, write_count: 6, read_count: 0
# DXT, mnt_pt: /gpfs/alpine, fs_type: gpfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       3  write        0               0          451840     15.5712     15.5715
 X_POSIX       3  write        1          451840         2097152     15.5866     15.5890
 X_POSIX       3  write        2         2548992         1065728     15.5890     15.5892
 X_POSIX       3  write        3         3614720          437472     15.5946     15.5946
 X_POSIX       3  write        4         4052192         2097152     15.6089     15.6091
 X_POSIX       3  write        5         6149344          965152     15.6092     15.6093

# DXT, file_id: 5585547412960387660, file_name: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/submit_summit/diags/diag100000/Level_0/Cell_D_00004
# DXT, rank: 4, hostname: h35n04
# DXT, write_count: 2, read_count: 0
# DXT, mnt_pt: /gpfs/alpine, fs_type: gpfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       4  write        0               0              90      3.5177      3.5177
 X_POSIX       4  write        1              90        10485760      3.5178      3.5200

# DXT, file_id: 8824111664466138331, file_name: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/submit_summit/diags/diag101000/Level_0/Cell_D_00004
# DXT, rank: 4, hostname: h35n04
# DXT, write_count: 2, read_count: 0
# DXT, mnt_pt: /gpfs/alpine, fs_type: gpfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       4  write        0               0              90     15.4651     15.4653
 X_POSIX       4  write        1              90        10485760     15.4653     15.4686

# DXT, file_id: 2321989023180012118, file_name: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/submit_summit/diags/diag101000/electrons/Level_0/DATA_00004
# DXT, rank: 4, hostname: h35n04
# DXT, write_count: 3, read_count: 0
# DXT, mnt_pt: /gpfs/alpine, fs_type: gpfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       4  write        0               0          457808     15.5692     15.5695
 X_POSIX       4  write        1          457808         2097152     15.5865     15.5878
 X_POSIX       4  write        2         2554960         1107504     15.5878     15.5879

# DXT, file_id: 11359950106276397705, file_name: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/submit_summit/diags/diag100000/Level_0/Cell_D_00005
# DXT, rank: 5, hostname: h35n04
# DXT, write_count: 2, read_count: 0
# DXT, mnt_pt: /gpfs/alpine, fs_type: gpfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       5  write        0               0              91      3.5178      3.5178
 X_POSIX       5  write        1              91        10485760      3.5178      3.5711

# DXT, file_id: 16684390822090871316, file_name: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/submit_summit/diags/diag101000/Level_0/Cell_D_00005
# DXT, rank: 5, hostname: h35n04
# DXT, write_count: 2, read_count: 0
# DXT, mnt_pt: /gpfs/alpine, fs_type: gpfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       5  write        0               0              91     15.4653     15.4653
 X_POSIX       5  write        1              91        10485760     15.4654     15.4685

