# Time-averaged data for fix myat1
# TimeStep v_L
86200 52.0623
86300 52.0623
86400 52.0623
86500 52.0623
86600 52.0623
86700 52.0623
86800 52.0623
86900 52.0623
87000 52.0623
87100 52.2623
87200 52.2623
87300 52.2623
87400 52.2623
87500 52.2623
87600 52.2623
87700 52.2623
87800 52.2623
87900 52.2623
88000 52.2623
88100 52.4623
88200 52.4623
88300 52.4623
88400 52.4623
88500 52.4623
88600 52.4623
88700 52.4623
88800 52.4623
88900 52.4623
89000 52.4623
89100 52.6623
89200 52.6623
89300 52.6623
89400 52.6623
89500 52.6623
89600 52.6623
89700 52.6623
89800 52.6623
89900 52.6623
90000 52.6623
90100 52.8623
90200 52.8623
90300 52.8623
90400 52.8623
90500 52.8623
90600 52.8623
90700 52.8623
90800 52.8623
90900 52.8623
91000 52.8623
91100 53.0623
91200 53.0623
91300 53.0623
91400 53.0623
91500 53.0623
91600 53.0623
91700 53.0623
91800 53.0623
91900 53.0623
92000 53.0623
92100 53.2623
92200 53.2623
92300 53.2623
92400 53.2623
92500 53.2623
92600 53.2623
92700 53.2623
92800 53.2623
92900 53.2623
93000 53.2623
93100 53.4623
93200 53.4623
93300 53.4623
93400 53.4623
93500 53.4623
93600 53.4623
93700 53.4623
93800 53.4623
93900 53.4623
94000 53.4623
94100 53.6623
94200 53.6623
94300 53.6623
94400 53.6623
94500 53.6623
94600 53.6623
94700 53.6623
94800 53.6623
94900 53.6623
95000 53.6623
95100 53.8623
95200 53.8623
95300 53.8623
95400 53.8623
95500 53.8623
95600 53.8623
95700 53.8623
95800 53.8623
95900 53.8623
96000 53.8623
96100 54.0623
96200 54.0623
96300 54.0623
96400 54.0623
96500 54.0623
96600 54.0623
96700 54.0623
96800 54.0623
96900 54.0623
97000 54.0623
97100 54.2623
97200 54.2623
97300 54.2623
97400 54.2623
97500 54.2623
97600 54.2623
97700 54.2623
97800 54.2623
97900 54.2623
98000 54.2623
98100 54.4623
98200 54.4623
98300 54.4623
98400 54.4623
98500 54.4623
98600 54.4623
98700 54.4623
98800 54.4623
98900 54.4623
99000 54.4623
99100 54.6623
99200 54.6623
99300 54.6623
99400 54.6623
99500 54.6623
99600 54.6623
99700 54.6623
99800 54.6623
99900 54.6623
100000 54.6623
100100 54.8623
100200 54.8623
100300 54.8623
100400 54.8623
100500 54.8623
100600 54.8623
100700 54.8623
100800 54.8623
100900 54.8623
101000 54.8623
101100 55.0623
101200 55.0623
101300 55.0623
101400 55.0623
101500 55.0623
101600 55.0623
101700 55.0623
101800 55.0623
101900 55.0623
102000 55.0623
102100 55.2623
102200 55.2623
102300 55.2623
102400 55.2623
102500 55.2623
102600 55.2623
102700 55.2623
102800 55.2623
102900 55.2623
103000 55.2623
103100 55.4623
103200 55.4623
103300 55.4623
103400 55.4623
103500 55.4623
103600 55.4623
103700 55.4623
103800 55.4623
103900 55.4623
104000 55.4623
104100 55.6623
104200 55.6623
104300 55.6623
104400 55.6623
104500 55.6623
104600 55.6623
104700 55.6623
104800 55.6623
104900 55.6623
105000 55.6623
